Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
105;QUC 3636-2020;R-005_Plot-105;0.5273527;26.730112;0.19979727;57.71212;5.5700374;24.884623;21.549112;27.968256;1.55E-04;0;100
106;QUC 3421-2020;R-005_Plot-106;0.5479521;26.978653;0.19783586;59.803062;5.5163345;25.508017;21.957203;28.94398;1.55E-04;0;100
107;QUC 4454-2021;R-005_Plot-107;0.5249898;26.098782;0.19946033;57.409885;5.9088006;24.699629;21.963593;27.66222;1.55E-04;0;100
108;QUC 3859-2021;R-005_Plot-108;0.50138164;24.851547;0.20565438;54.93805;6.7585864;24.181076;22.795753;26.557444;1.55E-04;0;100
109;QUC 3532-2022;R-005_Plot-109;0.54591054;27.148352;0.20367491;59.67851;5.6841984;25.974348;22.428589;29.354862;3.13E-04;0;100
110;QUC 3655-2020;R-005_Plot-110;0.5220515;26.178177;0.21407819;57.26523;6.6179795;25.86569;23.60578;28.637094;1.57E-04;0;100
111;QUC 3534-2020;R-005_Plot-111;0.5664853;30.580118;0.20371199;62.10867;3.727827;27.194407;20.133034;31.39925;3.13E-04;0;100
112;QUC 3648-2020;R-005_Plot-112;0.5272463;27.319033;0.20716262;57.84048;5.5754337;25.606981;21.905817;28.705246;1.57E-04;0;100
113;QUC 4541-2021;R-005_Plot-113;0.5366719;27.81807;0.202582;58.8006;5.117044;25.621063;21.286787;28.978436;4.74E-04;0;100
114;QUC 3311-2019;R-005_Plot-114;0.5498831;29.769413;0.209553;60.419777;4.3602214;26.999659;20.886162;30.783861;0;0;NaN
115;QUC 3649-2020;R-005_Plot-115;0.51148635;26.686422;0.21544975;56.251442;6.2330465;25.632471;22.78485;28.31419;1.58E-04;0;100
116;QUC 3454-2020  ;R-005_Plot-116;0.5571954;29.007544;0.21756518;61.178936;5.2703676;27.931723;22.825844;31.639774;1.58E-04;0;100
117;QUC 4483-2021;R-005_Plot-117;0.51686734;27.703205;0.22926283;57.06055;6.3092923;27.169022;23.692205;29.927391;0;0;NaN
118;QUC 3410-2020;R-005_Plot-118;0.55302024;29.20952;0.20832288;60.663696;4.6843944;26.940405;21.392935;30.697035;0;0;NaN
119;QUC 3638-2020;R-005_Plot-119;0.5370752;29.025152;0.22001868;59.162098;5.209945;27.353426;22.264252;30.728024;3.19E-04;0;100
120;QUC 4546-2021;R-005_Plot-120;0.5563784;30.598412;0.23138124;61.43929;4.848157;29.399097;22.846014;33.209198;0;0;NaN
121;QUC 4481-2021;R-005_Plot-121;0.5177714;30.252357;0.22779715;57.40694;4.581923;27.41731;21.125074;30.601843;1.61E-04;0;100
122;QUC 3409-2020;R-005_Plot-122;0.52750874;27.817505;0.21670371;58.02349;5.7295065;26.516043;22.584753;29.596449;1.61E-04;0;100
123;QUC 3404-2020;R-005_Plot-123;0.49649158;26.492445;0.21309334;54.668827;6.072511;24.81953;21.991615;27.279259;1.61E-04;0;100
124;QUC 3741-2020;R-005_Plot-124;0.5267796;27.593798;0.20639884;57.811348;5.3611817;25.548883;21.540058;28.688639;1.62E-04;0;100
125;QUC 3528-2022;R-005_Plot-125;0.53380376;28.738968;0.21088547;58.69545;4.9170566;26.3701;21.30803;29.74527;4.87E-04;0;100
126;QUC 3407-2020;R-006_Plot-126;0.5040254;27.146633;0.22653174;55.650288;6.411731;26.339113;23.32097;28.848192;8.12E-04;0;100
127;QUC 3631-2020;R-006_Plot-127;0.5310564;26.527184;0.20420247;58.116104;5.9558954;25.386745;22.428751;28.452236;0;0;NaN
128;QUC 3401-2018;R-006_Plot-128;0.5041651;24.946796;0.2046423;55.21777;6.6814423;24.209059;22.718233;26.648506;6.44E-04;0;100
129;QUC 3657-2020;R-006_Plot-129;0.5255961;29.074427;0.23181516;58.133442;5.6047554;27.94666;23.04727;31.02574;4.83E-04;0;100
130;QUC 3311-2019;R-006_Plot-130;0.55876034;31.02651;0.22120738;61.59783;4.142611;28.602448;21.383606;32.61694;0;0;NaN
131;QUC 3626-2020;R-006_Plot-131;0.5610208;30.226128;0.21667337;61.684753;4.465167;28.167156;21.705355;32.135048;6.44E-04;0;100
132;QUC 4568-2021;R-006_Plot-132;0.51598257;30.552195;0.21749735;57.128902;3.9808335;26.468277;19.734615;29.763374;4.78E-04;0;100
133;QUC 3622-2021;R-006_Plot-133;0.518151;30.022102;0.22205156;57.353863;4.501884;26.88895;20.758535;30.100695;1.59E-04;0;100
134;QUC 3492-2018;R-006_Plot-134;0.519635;28.28925;0.23674053;57.489353;6.3232903;28.016842;24.143461;30.8138;3.19E-04;0;100
135;QUC 4323-2021;R-006_Plot-135;0.5068714;26.585724;0.22057396;55.819996;6.522432;25.871004;23.301075;28.406063;3.16E-04;0;100
136;QUC 3594-2017  ;R-006_Plot-136;0.54056597;29.739819;0.21613473;59.54798;4.5993776;27.230673;21.2846;30.808294;3.16E-04;0;100
