Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
531;QUC 3526-2017  ;R-022_Plot-531;0.54218704;38.728;0.33303398;62.463608;2.1101086;39.298676;22.681877;42.98017;4.40E-04;0;100
532;QUC 3622-2021;R-022_Plot-532;0.50297374;33.05598;0.27136707;56.71685;4.2773643;30.907152;22.073997;33.77031;2.66E-04;0;100
533;QUC 3631-2020;R-022_Plot-533;0.45049438;33.66432;0.26514024;51.144924;3.287073;27.886122;18.62337;30.014885;0.001953125;0;100
534;QUC 4597-2021;R-022_Plot-534;0.47784805;32.399933;0.2550211;53.796482;3.9518487;28.237972;20.103529;30.777298;7.05E-04;0;100
535;QUC 4454-2021;R-022_Plot-535;0.49860084;33.262173;0.2701906;56.263603;4.0748997;30.61151;21.578732;33.445854;0.002041903;0;100
536;QUC 3409-2020;R-022_Plot-536;0.6219688;38.267376;0.3115586;70.35541;2.2532341;41.56814;24.772306;46.96403;5.33E-04;0;100
537;QUC 3562-2020;R-022_Plot-537;0.58703274;36.75578;0.3028888;66.395035;3.0881639;38.60835;24.479649;43.184486;4.44E-04;0;100
538;QUC 3517-2022;R-022_Plot-538;0.58492297;35.722202;0.26939344;65.50129;2.841337;35.046474;22.512323;39.812504;8.95E-05;0;100
539;QUC 3524-2022;R-022_Plot-539;0.55678445;36.758858;0.28392887;62.95315;2.387682;35.21486;21.576498;39.493065;4.44E-04;0;100
540;QUC 3412-2020;R-022_Plot-540;0.43322048;31.637142;0.27048606;49.14541;4.569736;27.20107;20.053308;28.67991;3.55E-04;0;100
541;QUC 3605-2020;R-022_Plot-541;0.47702888;32.871685;0.24779785;53.669132;3.4156213;27.645758;19.010529;30.321434;7.16E-04;0;100
542;QUC 3628-2020;R-022_Plot-542;0.49179828;33.42392;0.25729865;55.39888;3.4911652;29.203606;19.977762;32.103085;0.005100215;0;100
543;QUC 3408-2020;R-022_Plot-543;0.4908813;32.027645;0.24896032;55.05146;4.08033;28.282654;20.46479;31.05672;5.41E-04;0;100
544;QUC 3561-2020;R-022_Plot-544;0.5906215;32.86122;0.25266474;65.47499;4.3886156;33.245556;24.229366;37.77695;1.80E-04;0;100
545;QUC 3534-2022;R-022_Plot-545;0.52753204;32.40916;0.24822217;58.89979;4.0719657;29.933277;21.584848;33.388775;1.79E-04;0;100
546;QUC 3507-2020;R-022_Plot-546;0.57831573;31.647202;0.22509998;63.70004;4.03594;29.853668;21.980093;34.24584;3.61E-04;0;100
547;QUC 3517-2017  ;R-022_Plot-547;0.584256;35.632866;0.26192504;65.307205;2.661111;34.267483;21.87316;39.08683;3.61E-04;0;100
548;QUC 3604-2020;R-022_Plot-548;0.5002571;31.266396;0.23593736;55.79536;4.14011;27.49352;20.298689;30.458189;0.008207071;0;100
